Parameter,Function,Test Case,ExtractedInput
"(int g0, int g1, int g2)","public class EncodeTrigram {
public long encodeTrigram(int g0, int g1, int g2) {
    long encoded = g2;
    encoded = (encoded << 21) | g1;
    return (encoded << 21) | g0;
  }
}","@Test
  public void encodedTrigramTest() throws IOException {
    LmVocabulary vocabulary = new LmVocabulary(""a"", ""b"", ""c"", ""d"", ""e"");
    long k = ((1L << 21 | 2L) << 21) | 3L;
    Assert.assertEquals(k, vocabulary.encodeTrigram(3, 2, 1));
    Assert.assertEquals(k, vocabulary.encodeTrigram(3, 2, 1));
  }","Function: 24
EncodeTrigram
Spf Results Inputs: g0_1_SYMINT,g1_2_SYMINT,g2_3_SYMINT
No path conditions for demo.EncodeTrigram.encodeTrigram(0,0,0)"
"(long burstSizeInPackets, long packetSizeInBytes)","public class ConvertBurstSizeToKiloBits {
public static long convertBurstSizeToKiloBits(long burstSizeInPackets, long packetSizeInBytes) {
        return (burstSizeInPackets * packetSizeInBytes * 8) / 1024L;
    }
}","@Test
    public void convertBurstSizeToKiloBitsTest() {
        assertEquals(800, Meter.convertBurstSizeToKiloBits(100, 1024));
        assertEquals(1, Meter.convertBurstSizeToKiloBits(8, 16));
    }","Function: 28
ConvertBurstSizeToKiloBits
Spf Results Inputs: burstSizeInPackets_1_SYMINT,packetSizeInBytes_2_SYMINT
No path conditions for demo.ConvertBurstSizeToKiloBits.convertBurstSizeToKiloBits(0,0)"
"(long now, long deadlineMs)","public class CalcTimeoutMsRemainingAsInt {
static int calcTimeoutMsRemainingAsInt(long now, long deadlineMs) {
        long deltaMs = deadlineMs - now;
        if (deltaMs > Integer.MAX_VALUE)
            deltaMs = Integer.MAX_VALUE;
        else if (deltaMs < Integer.MIN_VALUE)
            deltaMs = Integer.MIN_VALUE;
        return (int) deltaMs;
    }
}","@Test
    public void testCalcTimeoutMsRemainingAsInt() {
        assertEquals(0, KafkaAdminClient.calcTimeoutMsRemainingAsInt(1000, 1000));
        assertEquals(100, KafkaAdminClient.calcTimeoutMsRemainingAsInt(1000, 1100));
        assertEquals(Integer.MAX_VALUE, KafkaAdminClient.calcTimeoutMsRemainingAsInt(0, Long.MAX_VALUE));
        assertEquals(Integer.MIN_VALUE, KafkaAdminClient.calcTimeoutMsRemainingAsInt(Long.MAX_VALUE, 0));
    }","Function: 29
CalcTimeoutMsRemainingAsInt
Spf Results Inputs: now_1_SYMINT,deadlineMs_2_SYMINT
demo.CalcTimeoutMsRemainingAsInt.calcTimeoutMsRemainingAsInt(0l,-2147483649l)  --> Return Value: -2147483649
demo.CalcTimeoutMsRemainingAsInt.calcTimeoutMsRemainingAsInt(0l,-2147483648l)  --> Return Value: -2147483648
demo.CalcTimeoutMsRemainingAsInt.calcTimeoutMsRemainingAsInt(0l,0l)  --> Return Value: 0
demo.CalcTimeoutMsRemainingAsInt.calcTimeoutMsRemainingAsInt(0l,2147483647l)  --> Return Value: 2147483647
demo.CalcTimeoutMsRemainingAsInt.calcTimeoutMsRemainingAsInt(-2147483648l,0l)  --> Return Value: 2147483648"
(int n),"public class Abs {
public static int abs(int n) {
        return (n == Integer.MIN_VALUE) ? 0 : Math.abs(n);
    }
}","@Test
    public void testAbs() {
        assertEquals(0, Utils.abs(Integer.MIN_VALUE));
        assertEquals(10, Utils.abs(-10));
        assertEquals(10, Utils.abs(10));
        assertEquals(0, Utils.abs(0));
        assertEquals(1, Utils.abs(-1));
    }","Function: 30
Abs
Spf Results Inputs: n_1_SYMINT
demo.Abs.abs(-2147483648)  --> Return Value: 0
demo.Abs.abs(-1)  --> Return Value: 1
demo.Abs.abs(0)  --> Return Value: 0"
"(int baseSequence, int increment)","public class IncrementSequence {
static int incrementSequence(int baseSequence, int increment) {
        if (baseSequence > Integer.MAX_VALUE - increment)
            return increment - (Integer.MAX_VALUE - baseSequence) - 1;
        return baseSequence + increment;
    }
}","@Test
    public void testIncrementSequence() {
        assertEquals(10, DefaultRecordBatch.incrementSequence(5, 5));
        assertEquals(0, DefaultRecordBatch.incrementSequence(Integer.MAX_VALUE, 1));
        assertEquals(4, DefaultRecordBatch.incrementSequence(Integer.MAX_VALUE - 5, 10));
    }","Function: 31
IncrementSequence
Spf Results Inputs: baseSequence_1_SYMINT,increment_2_SYMINT
demo.IncrementSequence.incrementSequence(2147483647,1)  --> Return Value: 0
demo.IncrementSequence.incrementSequence(0,0)  --> Return Value: 0"
(int c),"public class IsWhitespace {
public static boolean isWhitespace(int c){
        return c == ' ' || c == '\t' || c == '\n' || c == '\f' || c == '\r';
    }
}","@Test public void isWhitespace() {
        assertTrue(StringUtil.isWhitespace('\t'));
        assertTrue(StringUtil.isWhitespace('\n'));
        assertTrue(StringUtil.isWhitespace('\r'));
        assertTrue(StringUtil.isWhitespace('\f'));
        assertTrue(StringUtil.isWhitespace(' '));
        
        assertFalse(StringUtil.isWhitespace('\u00a0'));
        assertFalse(StringUtil.isWhitespace('\u2000'));
        assertFalse(StringUtil.isWhitespace('\u3000'));
    }","Function: 32
IsWhitespace
Spf Results Inputs: c_1_SYMINT
demo.IsWhitespace.isWhitespace(13)  --> Return Value: 1
demo.IsWhitespace.isWhitespace(0)  --> Return Value: 0
demo.IsWhitespace.isWhitespace(12)  --> Return Value: 1
demo.IsWhitespace.isWhitespace(10)  --> Return Value: 1
demo.IsWhitespace.isWhitespace(9)  --> Return Value: 1
demo.IsWhitespace.isWhitespace(32)  --> Return Value: 1"
(long size),"public class EstimateSizeOverhead {
public static long estimateSizeOverhead(long size) {
      // We take 8 and add the number provided and then round up to 16 (& operator has higher precedence than +)
      return (size + 8 + 15) & ~15;
   }
}","@Test(dataProvider = ""roundings"")
   public void testRoundings(long original, long expected) {
      // The estimate adds 8 and rounds up to 16
      assertEquals(expected, UnpooledOffHeapMemoryAllocator.estimateSizeOverhead(original));
   }","Function: 34
EstimateSizeOverhead
Spf Results Inputs: size_1_SYMINT
No path conditions for demo.EstimateSizeOverhead.estimateSizeOverhead(0)"
(int i),"public class Set {
public void set(int i) {
      throw new UnsupportedOperationException(""RangeSet is immutable"");
   }
}","@Test(expected = UnsupportedOperationException.class)
   public void set() throws Exception {
      RangeSet rs = new RangeSet(4);
      rs.set(1);
   }","Function: 35
Set
Spf Results Inputs: i_1_SYMINT
No path conditions for demo.Set.set(0)"
(int number),"public class IsOdd {
public static boolean isOdd(int number) {
		return number % 2 == 1;
	}
}","@Test
	public void testOdd() {
		assertTrue(MathUtil.isOdd(3));
		assertFalse(MathUtil.isOdd(4));
	}","Function: 36
IsOdd
Spf Results Inputs: number_1_SYMINT
demo.IsOdd.isOdd(1)  --> Return Value: 1
demo.IsOdd.isOdd(0)  --> Return Value: 0"
"(int clipX, int clipY)","public class BackGroundPosition {
protected static String backGroundPosition(int clipX, int clipY) {
        return ""background-position: "" + clipX + ""px "" + clipY + ""px !important"";
    }
}","@Test
    public void testBackGroundPosition() {
        final String backGroundPosition = ImageStripDOMGlyphRenderer.backGroundPosition(123, 321);
        assertEquals(backGroundPosition, ""background-position: 123px 321px !important"");
    }","Function: 37
BackGroundPosition
Spf Results Inputs: clipX_1_SYMINT,clipY_2_SYMINT
No path conditions for demo.BackGroundPosition.backGroundPosition(0,0)"
(long value),"public class IsEven {
public static boolean isEven(long value) {
        return value % 2 == 0;
    }
}","@Test
    public void testIsEven() throws Exception {
        Assert.assertTrue(MathUtils.isEven(evenVal_EXPECTED));
        Assert.assertFalse(MathUtils.isEven(oddVal_EXPECTED));
    }","Function: 41
IsEven
Spf Results Inputs: value_1_SYMINT
demo.IsEven.isEven(0l)  --> Return Value: 1
demo.IsEven.isEven(1l)  --> Return Value: 1"
(long value),"public class IsPower2 {
public static boolean isPower2(long value) {
        return value == 1 || value == 2 || value == 4 || value == 8 || value == 16 ||
                value == 32 || value == 64 || value == 128 || value == 256 ||
                value == 512 || value == 1024 || value == 2048 || value == 4096;
    }
}","@Test
    public void testIsPower2() throws Exception {
        Assert.assertTrue(MathUtils.isPower2((long) powerOfTwo_EXPECTED));
        Assert.assertFalse(MathUtils.isPower2((long) notPowerOfTwo_EXPECTED));
    }","Function: 42
IsPower2
Spf Results Inputs: value_1_SYMINT
demo.IsPower2.isPower2(0l)  --> Return Value: 0
demo.IsPower2.isPower2(1l)  --> Return Value: 0
demo.IsPower2.isPower2(2l)  --> Return Value: 0
demo.IsPower2.isPower2(3l)  --> Return Value: 0
demo.IsPower2.isPower2(4l)  --> Return Value: 0
demo.IsPower2.isPower2(5l)  --> Return Value: 0
demo.IsPower2.isPower2(8l)  --> Return Value: 0
demo.IsPower2.isPower2(9l)  --> Return Value: 0
demo.IsPower2.isPower2(16l)  --> Return Value: 0
demo.IsPower2.isPower2(17l)  --> Return Value: 0
demo.IsPower2.isPower2(32l)  --> Return Value: 0
demo.IsPower2.isPower2(33l)  --> Return Value: 0
demo.IsPower2.isPower2(64l)  --> Return Value: 0
demo.IsPower2.isPower2(65l)  --> Return Value: 0
demo.IsPower2.isPower2(128l)  --> Return Value: 0
demo.IsPower2.isPower2(129l)  --> Return Value: 0
demo.IsPower2.isPower2(256l)  --> Return Value: 0
demo.IsPower2.isPower2(257l)  --> Return Value: 0
demo.IsPower2.isPower2(512l)  --> Return Value: 0
demo.IsPower2.isPower2(513l)  --> Return Value: 0
demo.IsPower2.isPower2(1024l)  --> Return Value: 0
demo.IsPower2.isPower2(1025l)  --> Return Value: 0
demo.IsPower2.isPower2(2048l)  --> Return Value: 0
demo.IsPower2.isPower2(2049l)  --> Return Value: 0
demo.IsPower2.isPower2(4096l)  --> Return Value: 0
demo.IsPower2.isPower2(4097l)  --> Return Value: 0"
(double value),"public class Sqr {
@Deprecated
    public static double sqr(double value) {
        return Math.pow(value, 2);
    }
}","@Test
    public void testSqr() throws Exception {
        Assert.assertEquals(Math.pow(VALUE, 2), MathUtils.sqr(VALUE), DELTA);
    }","Function: 44
Sqr
Spf Results Inputs: value_1_SYMREAL
No path conditions for demo.Sqr.sqr(0.0)"
(double value),"public class Sqrt {
@Deprecated
    public static double sqrt(double value) {
        return Math.sqrt(value);
    }
}","@Test
    public void testSqrt() throws Exception {
        Assert.assertEquals(Math.sqrt(VALUE), MathUtils.sqrt(VALUE), DELTA);
    }","Function: 45
Sqrt
Spf Results Inputs: value_1_SYMREAL
No path conditions for demo.Sqrt.sqrt(0.0)"
(int nDataUnits),"public class GetPackedLength {
public int getPackedLength(int nDataUnits)
    {
        return (nDataUnits + 1) / 2;
    }
}","@Test
    public void testGetPackedLength() throws Throwable {
        int result = BCDInterpreter.LEFT_PADDED.getPackedLength(0);
        assertEquals(0, result, ""result"");
    }","Function: 49
GetPackedLength
Spf Results Inputs: nDataUnits_1_SYMINT
No path conditions for demo.GetPackedLength.getPackedLength(0)"
(long millis),"public class Sleep {
public static void sleep (long millis) {
        try {
            Thread.sleep (millis);
        } catch (InterruptedException ignored) { }
    }
}","@Test
    public void testSleepThrowsIllegalArgumentException() throws Throwable {
        try {
            ISOUtil.sleep(-30L);
            fail(""Expected IllegalArgumentException to be thrown"");
        } catch (IllegalArgumentException ex) {
            assertEquals(""timeout value is negative"", ex.getMessage(), ""ex.getMessage()"");
        }
    }","Function: 51
Sleep
Spf Results Inputs: millis_1_SYMINT
No path conditions for demo.Sleep.sleep(0)"
(long durationMs),"public class DurationToString {
public static String durationToString(long durationMs) {
    boolean negative = false;
    if (durationMs < 0) {
      negative = true;
      durationMs = -durationMs;
    }
    // Chop off the milliseconds
    long durationSec = durationMs / 1000;
    final int secondsPerMinute = 60;
    final int secondsPerHour = 60*60;
    final int secondsPerDay = 60*60*24;
    final long days = durationSec / secondsPerDay;
    durationSec -= days * secondsPerDay;
    final long hours = durationSec / secondsPerHour;
    durationSec -= hours * secondsPerHour;
    final long minutes = durationSec / secondsPerMinute;
    durationSec -= minutes * secondsPerMinute;
    final long seconds = durationSec;
    final long milliseconds = durationMs % 1000;
    String format = ""%03d:%02d:%02d:%02d.%03d"";
    if (negative)  {
      format = ""-"" + format;
    }
    return String.format(format, days, hours, minutes, seconds, milliseconds);
  }
}","@Test(timeout=1000)
  public void testDurationToString() throws Exception {
    assertEquals(""000:00:00:00.000"", DFSUtil.durationToString(0));
    assertEquals(""001:01:01:01.000"",
        DFSUtil.durationToString(((24*60*60)+(60*60)+(60)+1)*1000));
    assertEquals(""000:23:59:59.999"",
        DFSUtil.durationToString(((23*60*60)+(59*60)+(59))*1000+999));
    assertEquals(""-001:01:01:01.000"",
        DFSUtil.durationToString(-((24*60*60)+(60*60)+(60)+1)*1000));
    assertEquals(""-000:23:59:59.574"",
        DFSUtil.durationToString(-(((23*60*60)+(59*60)+(59))*1000+574)));
  }","Function: 53
DurationToString
Spf Results Inputs: durationMs_1_SYMINT
demo.DurationToString.durationToString(-1l)  --> Return Value: java.lang.String@2d2
demo.DurationToString.durationToString(0l)  --> Return Value: java.lang.String@2d2
demo.DurationToString.durationToString(1l)  --> Return Value: java.lang.String@2d2"
"(int length, int batchSize)","public class GetBatchCount {
public static int getBatchCount(int length, int batchSize) {
    // Avoid negative numbers.
    if ((batchSize < 1) || (length < 1)) {
      return 0;
    }
    int remainder = length % batchSize;
    return (remainder > 0) ? (length / batchSize) + 1 : (length / batchSize);
  }
}","@Test
  public void testGetBatchCount() {
    // Edge cases
    assertEquals(0, BatchUtil.getBatchCount(0,0));
    assertEquals(0, BatchUtil.getBatchCount(-1,0));
    assertEquals(0, BatchUtil.getBatchCount(-2,4));
    assertEquals(0, BatchUtil.getBatchCount(5,-7));


    // One
    assertEquals(1, BatchUtil.getBatchCount(9,9));
    assertEquals(1, BatchUtil.getBatchCount(9,10));
    assertEquals(1, BatchUtil.getBatchCount(9,11));
    assertEquals(1, BatchUtil.getBatchCount(9,18));
    assertEquals(1, BatchUtil.getBatchCount(9,19));
    
    // More
    assertEquals(2, BatchUtil.getBatchCount(9,8));
    assertEquals(2, BatchUtil.getBatchCount(9,7));
    assertEquals(2, BatchUtil.getBatchCount(9,6));
    assertEquals(2, BatchUtil.getBatchCount(9,5));
    assertEquals(3, BatchUtil.getBatchCount(9,4));
    assertEquals(3, BatchUtil.getBatchCount(9,3));
    assertEquals(5, BatchUtil.getBatchCount(9,2));
    assertEquals(9, BatchUtil.getBatchCount(9,1));
  }","Function: 56
GetBatchCount
Spf Results Inputs: length_1_SYMINT,batchSize_2_SYMINT
demo.GetBatchCount.getBatchCount(0,1)  --> Return Value: 0
demo.GetBatchCount.getBatchCount(1,1)  --> ""java.lang.ArithmeticException: div by 0...""
demo.GetBatchCount.getBatchCount(-9223372036854775808(don't care),0)  --> Return Value: 0"
"(int i, int maxRetention, int length)","public class ShouldRetain {
public static boolean shouldRetain(int i, int maxRetention, int length) {
    // Files with a zero-based index greater or equal than the retentionCutoff
    // should be retained.
    int retentionCutoff = length - maxRetention;
    boolean retain = (i >= retentionCutoff) ? true : false;
    return retain;
  }
}","@Test
  public void testShouldRetain() {
    assertTrue(BatchUtil.shouldRetain(0, 1, 1));
    assertTrue(BatchUtil.shouldRetain(5, 5, 10));
    
    assertFalse(BatchUtil.shouldRetain(0, 1, 2));
    assertFalse(BatchUtil.shouldRetain(4, 5, 10));
    assertFalse(BatchUtil.shouldRetain(4, 100000, 155690)); 
  }","Function: 57
ShouldRetain
Spf Results Inputs: i_1_SYMINT,maxRetention_2_SYMINT,length_3_SYMINT
demo.ShouldRetain.shouldRetain(0,0,0)  --> Return Value: 1
demo.ShouldRetain.shouldRetain(-1,0,0)  --> Return Value: 0"
(long now),"public class GetEncodedRunId {
public static long getEncodedRunId(long now) {
    // get top of the hour
    long lastHour = now - (now % 3600);
    // return inverted timestamp
    return (Long.MAX_VALUE - lastHour);
  }
}","@Test
  public void TestGetLastHourInvertedTimestamp() throws IOException {
    long ts = 1391896800L;
    long expectedTop = Long.MAX_VALUE - ts;
    long actualTop = HdfsStatsService.getEncodedRunId(ts);
    assertEquals(actualTop, expectedTop);
  }","Function: 58
GetEncodedRunId
Spf Results Inputs: now_1_SYMINT
No path conditions for demo.GetEncodedRunId.getEncodedRunId(0)"
(long encodedRunId),"public class GetRunId {
public static long getRunId(long encodedRunId) {
    return Long.MAX_VALUE - encodedRunId;
  }
}","@Test
  public void testGetRunId() {
    long ts = 1392217200L;
    HdfsStatsKey key1 = new HdfsStatsKey(cluster1, path1, (Long.MAX_VALUE - ts));
    assertEquals(key1.getRunId(), ts);
  }","Function: 59
GetRunId
Spf Results Inputs: encodedRunId_1_SYMINT
No path conditions for demo.GetRunId.getRunId(0)"
